iter	Logloss
0	0.6397523759
1	0.5924536011
2	0.5559897716
3	0.5196809875
4	0.4892199083
5	0.4633101063
6	0.4425650172
7	0.4230294237
8	0.405179054
9	0.3879114388
10	0.3755797353
11	0.3628505945
12	0.3511954065
13	0.3400692108
14	0.3320925358
15	0.3239375792
16	0.3169051867
17	0.3091950671
18	0.303590719
19	0.298350358
20	0.2941347891
21	0.2890078878
22	0.2842874077
23	0.2808728061
24	0.2762592499
25	0.2741230889
26	0.270755973
27	0.2674198896
28	0.2640673456
29	0.261675546
30	0.2591783615
31	0.2558736103
32	0.2533151208
33	0.2509659874
34	0.2486066831
35	0.2459419735
36	0.2442012137
37	0.2418651423
38	0.2395913323
39	0.2371195875
40	0.2349855066
41	0.2338562231
42	0.2324599627
43	0.2313910694
44	0.2301050161
45	0.2291002523
46	0.2279200092
47	0.2263434814
48	0.2248625057
49	0.2239958695
50	0.2230686431
51	0.2220729291
52	0.2201147782
53	0.2195648107
54	0.2185674477
55	0.2180153894
56	0.2167605217
57	0.2162371743
58	0.2149389755
59	0.213761775
60	0.2130610532
61	0.2121147752
62	0.2109023849
63	0.2102958081
64	0.2090882365
65	0.2085136645
66	0.2079740843
67	0.207428237
68	0.2069685489
69	0.2060361711
70	0.2056432826
71	0.2051587143
72	0.20424732
73	0.2034250965
74	0.2029414001
75	0.2020771473
76	0.2012144051
77	0.2008693419
78	0.2003895462
79	0.1997641537
80	0.199505938
81	0.1989377775
82	0.1979487743
83	0.1974046198
84	0.1973079776
85	0.1967140727
86	0.196246335
87	0.1961753067
88	0.1955969178
89	0.1951775255
90	0.1944069112
91	0.1938181884
92	0.1935418499
93	0.1927046222
94	0.1924434349
95	0.192318308
96	0.192088794
97	0.1916557573
98	0.191489446
99	0.1908820528
