iter	Passed	Remaining
0	1	147
1	4	198
2	6	203
3	7	180
4	8	162
5	10	168
6	13	176
7	15	180
8	18	183
9	20	185
10	23	186
11	25	185
12	27	186
13	33	203
14	38	215
15	41	216
16	44	215
17	47	214
18	49	211
19	52	208
20	53	199
21	55	197
22	58	195
23	60	192
24	62	188
25	65	185
26	67	182
27	69	179
28	71	175
29	74	174
30	77	171
31	79	168
32	82	167
33	84	164
34	86	161
35	89	159
36	92	157
37	94	154
38	96	151
39	99	149
40	104	150
41	108	149
42	110	146
43	113	144
44	116	142
45	118	139
46	121	136
47	124	134
48	127	132
49	130	130
50	132	127
51	135	124
52	138	122
53	140	119
54	142	116
55	144	113
56	146	110
57	149	107
58	152	105
59	154	102
60	156	100
61	159	97
62	161	94
63	163	91
64	165	89
65	168	86
66	170	83
67	172	81
68	173	78
69	175	75
70	178	72
71	180	70
72	183	67
73	185	65
74	187	62
75	189	59
76	194	57
77	199	56
78	203	54
79	207	51
80	211	49
81	216	47
82	220	45
83	223	42
84	226	39
85	229	37
86	231	34
87	233	31
88	235	29
89	237	26
90	239	23
91	241	21
92	244	18
93	246	15
94	249	13
95	251	10
96	255	7
97	259	5
98	261	2
99	264	0
